Using: ,adj_open_tomorrow,sentiment_n,adj_close_tomorrow,sentiment_p,adj_low
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.006382588622746857
Test RMSE 2: ,0.004705786688911442
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.00453237],0.00588133141359,[ 0.22936314]
[ 0.00881686],0.00749196610341,[ 0.17684151]
[ 0.00464212],0.00170222204156,[ 1.72709358]
[ 0.00472276],0.00530503817091,[ 0.1097593]
[ 0.00452153],0.0134188962465,[ 0.66304779]
[ 0.00462364],0.00289153252457,[ 0.59902835]
[ 0.00459046],0.00151830369998,[ 2.02341557]
[ 0.00459943],0.00052947040566,[ 7.68685484]
[ 0.00456693],0.00420186978161,[ 0.08688132]
[ 0.00460412],0.00284482882045,[ 0.61841697]
[ 0.00469835],0.00791857188834,[ 0.40666643]
[ 0.00860139],0.0117583812366,[ 0.26848894]
[ 0.00467091],0.00293233648266,[ 0.59289783]
[ 0.0046412],0.00103860697182,[ 3.46867466]
[ 0.00468879],0.00543460315733,[ 0.13723351]
[ 0.00464438],0.00144703525153,[ 2.20958114]
[ 0.00470277],0.00244505753131,[ 0.9233793]
[ 0.00462657],0.00511185829308,[ 0.09493313]
[ 0.00459626],0.00526838245888,[ 0.12757637]
[ 0.00458262],0.0049907535595,[ 0.08177812]
[ 0.00459159],0.00126123798893,[ 2.64053965]
[ 0.0091904],0.00303709472584,[ 2.02604961]
[ 0.00445386],0.0089857517831,[ 0.5043422]
[ 0.00445665],0.00562177627289,[ 0.20725203]
[ 0.00444841],0.00460769832873,[ 0.03456943]
[ 0.00441024],0.00565334385201,[ 0.2198889]
[ 0.00446514],0.00206982941482,[ 1.15725172]
[ 0.00446319],0.000509370487672,[ 7.76217175]
[ 0.00436043],0.00962553616344,[ 0.54699367]
[ 0.00434745],0.00776344833442,[ 0.44001031]
[ 0.0043432],0.0038225953083,[ 0.13619068]
[ 0.00450394],0.0121506614332,[ 0.62932545]
[ 0.00927814],0.00222583035206,[ 3.1683929]
[ 0.00452072],0.00359565552945,[ 0.25727355]
[ 0.00444392],0.00556205265926,[ 0.20102924]
[ 0.00415245],0.0129498594448,[ 0.67934418]
[ 0.00632414],0.0182359144103,[ 0.65320432]
[ 0.00425063],0.00430688040548,[ 0.01306126]
[ 0.00408913],0.0129763878396,[ 0.68487883]
[ 0.00574008],0.000346543617992,[ 15.56381607]
[ 0.00620081],0.0242987179653,[ 0.74480897]
[ 0.00739645],0.00355504980419,[ 1.08054698]
[ 0.00408739],0.0100052791496,[ 0.59147704]
[ 0.00403721],0.00949345956935,[ 0.57473826]
[ 0.00409196],0.00171673938553,[ 1.38356578]
[ 0.00423799],0.00821247802781,[ 0.48395744]
[ 0.01015212],0.0029796781994,[ 2.40711904]
[ 0.00421621],0.00169821460695,[ 1.48273158]
[ 0.00407391],0.013732249305,[ 0.70333296]
[ 0.00410119],0.00750256669657,[ 0.45336181]
[ 0.00415374],0.000186025591125,[ 21.32888222]
[ 0.00411628],0.00484480011319,[ 0.15037231]
[ 0.00404641],0.00909686535957,[ 0.55518675]
[ 0.00398122],0.0137754110962,[ 0.71099108]
[ 0.00398094],0.0079158506227,[ 0.4970929]
[ 0.00397512],0.00621916608113,[ 0.36082712]
[ 0.00398821],0.00255170111175,[ 0.56296164]
[ 0.00408247],0.00361098188756,[ 0.13056964]
[ 0.00405281],0.00331024213273,[ 0.22432484]
[ 0.00408139],0.00199505024034,[ 1.04575944]
[ 0.0042042],0.00609575492966,[ 0.31030682]
[ 0.0040389],0.00981324375967,[ 0.58842319]
[ 0.00409951],0.000257082415997,[ 14.94627762]
[ 0.00413042],0.00312300053951,[ 0.32257983]
[ 0.00418443],0.000845179583106,[ 3.95093298]
[ 0.00784722],0.00306518417255,[ 1.5601126]
[ 0.00417223],3.42238473031e-05,[ 120.90991211]
[ 0.00416582],0.00147735993683,[ 1.81977165]
[ 0.0083577],0.0114816330913,[ 0.27208102]
[ 0.00849928],0.00669600508329,[ 0.26930663]
[ 0.00810906],0.00658250236474,[ 0.23191161]
[ 0.00443429],0.00114081619349,[ 2.88694477]
[ 0.00429855],0.0110573949835,[ 0.61125082]
[ 0.00428598],0.00647039536503,[ 0.33760136]
[ 0.00435553],0.00131004986534,[ 2.32470155]
[ 0.00430007],0.00535971599216,[ 0.19770612]
[ 0.00431311],0.00309939229762,[ 0.39159763]
[ 0.00428685],0.00512408864492,[ 0.1633922]
[ 0.00434987],0.000715490902408,[ 5.07956123]
[ 0.00423943],0.00908653965803,[ 0.53343827]
[ 0.00426686],0.00402228753949,[ 0.06080497]
[ 0.00425053],0.00354947397596,[ 0.19750999]
[ 0.00425949],0.00154715703802,[ 1.75310886]
[ 0.00422221],0.00518329027018,[ 0.18541849]
[ 0.00425917],0.000845395601713,[ 4.03808498]
[ 0.0042117],0.00424227576946,[ 0.00720729]
[ 0.0040817],0.0124517063335,[ 0.67219764]
[ 0.00407663],0.00870692539031,[ 0.53179425]
[ 0.00413304],0.00159936101662,[ 1.58417964]
[ 0.00430524],0.00729177205711,[ 0.40957627]
[ 0.00424433],0.00233384038581,[ 0.81860232]
