Using: ,adj_open_tomorrow,sentiment_n,adj_close_tomorrow,sentiment_p,adj_low
Predict: ,adj_close_tomorrow
Train RMSE 1: ,0.739347801638241
Test RMSE 1: ,0.9517311949260838
Baseline RMSE 1: ,1.224528726329681
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
69.817,69.4374375336,0.0054659407725
70.0382,69.2419895071,0.0114989600533
69.3624,68.121718664,0.0182119861945
69.2733,69.1941374065,0.00114417776924
69.4598,68.9931585842,0.00676337896153
69.4722,69.1210300307,0.00508015530628
69.6219,69.2039736716,0.00603886616958
70.1935,70.2043484183,0.000153921203739
70.4183,69.7831170109,0.00910187079786
70.154,68.937464056,0.0176476037467
69.6673,69.0598856799,0.00879587614333
69.4543,68.4550882979,0.0145959325645
69.5184,69.2707007674,0.0035757354851
69.5173,69.0931163053,0.00613924446822
69.9683,69.6168309614,0.00504840051812
70.6633,70.9008623264,0.00335074056163
71.9335,72.5703689459,0.00877627157512
73.3943,73.9142154365,0.00703349035527
74.1454,73.270870529,0.0119362065989
74.9879,75.2769369224,0.0038398533833
75.5359,75.1012133754,0.00578775824761
76.128,75.4868215524,0.00849328412751
75.671,74.4392593176,0.0165475058409
75.4682,75.2912925526,0.00234944661234
75.6043,75.1743207512,0.00571937570633
75.5776,74.6173754697,0.0128684215603
75.2545,74.5083790185,0.0100138360914
75.015,73.696222534,0.0178941475418
74.5401,74.1042946137,0.00588138654803
74.5135,73.7706591349,0.0100690318591
73.9686,73.2097261783,0.0103661329032
73.0715,72.3709851935,0.00967974594962
73.2983,72.9771118006,0.00440103245332
75.3661,75.7777889082,0.00543289026504
76.0691,75.4561164545,0.00812410601225
75.9434,74.9549986237,0.01318595344
75.4604,74.4485638928,0.0135915323855
74.7499,73.7081855591,0.0141323446572
74.6109,74.5721818192,0.000519625098034
74.3794,73.523423282,0.0116419496302
73.6007,71.9084148881,0.0235340067264
72.559,72.3005362677,0.00357535366277
72.415,71.7831354304,0.00880199734553
72.4977,72.238062692,0.00359434458753
72.5713,71.3154476087,0.0176097763566
71.9476,70.8397179757,0.0156390809498
71.4497,71.210571755,0.00335771435006
72.2805,72.6275256215,0.00477759846905
73.8137,74.0856854635,0.00367166969516
74.3008,73.6722964837,0.00853091902499
73.5089,71.8672089127,0.022843125918
