Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,0.3622589177245028
Test RMSE 1: ,0.43546328180252325
Baseline RMSE 1: ,0.5868655931171728
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
67.0401,67.1260514472,0.00127999234509
66.944,66.8474082235,0.00144473457404
67.5278,67.9529926274,0.00625646231147
67.9398,68.114785467,0.00256959138859
67.2779,68.0518660293,0.0113724957495
68.0311,67.5485105284,0.00714497856887
68.1642,68.6001639857,0.00635559230277
68.3497,68.22264736,0.0018618897838
68.629,68.6900488966,0.000889013090522
68.6212,68.3844401996,0.00346152699157
68.8989,69.337220255,0.00632153063363
69.2684,69.2653123263,4.41672126422e-05
69.402,69.1304849599,0.00392691720748
69.1838,68.9866691025,0.00285718611316
69.3268,69.2743008173,0.000758249234838
69.4854,69.5080015856,0.000325313282608
69.5464,69.5888980054,0.000610562887403
69.9188,70.254046346,0.00477191008057
70.0156,69.6697944252,0.00496297631522
69.9392,70.0742765242,0.00192814429047
70.2833,71.0180680885,0.0103456437797
70.7335,70.7484133558,0.000210720016004
70.7835,70.9191946865,0.00191293059841
70.6675,71.0809875261,0.00581740732263
71.3541,71.2068264013,0.00206797306266
71.2577,71.2068264013,0.000713992502592
71.3288,71.2337918746,0.00133412846924
71.2088,70.9191946865,0.00408382868849
70.9267,70.8832407221,0.000612957666221
71.2941,71.7371473755,0.0061754801295
71.9047,72.294433823,0.00539132941582
72.3924,72.5191461002,0.00174782919398
72.5576,72.7438583774,0.0025598129724
72.8367,72.8157663061,0.000287075407064
72.8966,72.905651217,0.000124584562548
72.9119,72.9955361279,0.00114635123386
72.7946,72.5281345913,0.00367429465569
72.1795,71.8229246065,0.00496449470981
72.079,72.2749822891,0.00271179820829
72.4362,72.2840234427,0.00210519453093
72.0071,71.497443075,0.00712847199484
71.6596,71.5064842287,0.00214063522758
71.4669,70.9730561633,0.0069586694943
71.0485,70.5933277099,0.00644770173759
70.6718,70.2859284858,0.00549022382432
70.2715,69.8429119568,0.00613667047564
70.2655,70.4667515588,0.00285528775314
70.0463,69.8338708032,0.00304218065772
70.091,70.0056527226,0.00121854329929
70.3856,70.4034634832,0.000253769535434
70.5289,70.5300396343,1.6047892089e-05
70.7548,70.8736034731,0.00167671877385
71.0297,70.9459327023,0.0011808451423
71.1695,71.0905911607,0.00111022225406
71.2374,71.1448380826,0.00130151824174
71.3082,71.343743463,0.000498241888598
71.287,71.108673468,0.00250848262404
71.1612,70.7108627074,0.00636862743634
70.8479,70.927850395,0.00112687915608
70.7745,70.3672988686,0.00578633266005
70.7464,70.6023688636,0.00204066578661
70.6778,70.5571630953,0.00171003478242
70.2938,70.0598996445,0.0033387996487
70.3316,70.4848338661,0.00217469857748
70.4182,70.2135992565,0.00291394227694
69.9955,69.3998954279,0.00858186222686
69.2962,68.8845496698,0.00597666271795
68.9532,68.568109292,0.00561552928261
68.4402,68.1250927631,0.00462543285895
67.9782,67.7724877707,0.00303503925753
67.6217,67.2842654735,0.00501500605366
67.2883,67.0401543249,0.00370212471165
67.3991,67.5102943148,0.00164739239807
67.5901,66.9949485567,0.00888357414369
67.572,67.582623544,0.000157101305843
67.4348,67.5193354684,0.00125203060004
66.6581,65.6930224309,0.014689963569
65.938,65.7563105064,0.00276289489831
65.8017,65.8828866575,0.00123268381971
65.9901,65.8376808893,0.00231444983459
66.3842,66.6785081789,0.00441382294076
66.5515,66.6875493325,0.00203955271732
67.1108,67.6278293123,0.00764564142178
67.4428,67.7724877707,0.00486436448671
67.8563,68.1341339167,0.00407841595863
68.3045,68.5229035237,0.00318735411623
68.3162,68.1070104558,0.00307159906985
67.9508,67.6730350805,0.00410425947406
66.7963,66.4705616449,0.00490122121489
66.2956,66.1089154988,0.00282356022177
66.3902,66.3168620328,0.00110583822656
66.4539,66.3168620328,0.00206692052087
67.1495,67.609747005,0.00680766159155
67.5098,67.4108416246,0.00146781862054
67.5423,67.5374177757,7.17982730583e-05
67.3798,67.013030864,0.00547354056442
67.7059,67.9261873827,0.00324334663569
67.9757,67.6278293123,0.00514435532354
67.8426,67.7001585415,0.0021046508516
68.0612,67.8628993072,0.00292234721113
67.9619,67.7264091638,0.00347774847677
68.1064,68.1722769656,0.000966337526065
68.3877,68.7273368822,0.00494220310665
68.6091,68.1813763085,0.00627265508689
68.0973,67.5899190204,0.00750739802362
67.9544,67.9538927361,7.00261832582e-06
68.0275,68.0357868222,0.000121854757351
67.9792,67.6809124493,0.00440707064408
68.0397,68.5908467387,0.00803556573505
68.8097,69.2459994272,0.00630027584233
69.5359,69.8465560582,0.00444774623766
69.9453,69.94664883,1.95412879815e-05
69.8046,69.3642908848,0.00634826946026
69.5798,69.2823967987,0.00429212231147
69.4511,69.1641053411,0.0041495204475
