Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,2.6092361231204926
Test RMSE 1: ,5.051127613957105
Baseline RMSE 1: ,7.097407989612968
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
449.568,447.914669676,0.00369136166568
448.619,445.910482943,0.00607499021896
448.007,445.254457857,0.00618144747831
446.235,444.426903275,0.00406800190413
449.634,453.058548336,0.00755778346362
451.83,450.585915556,0.00276073641723
453.102,452.953223208,0.000327493623346
448.911,444.622507085,0.00964471984234
446.297,444.793033484,0.00338181494295
443.647,439.973154981,0.00835071933885
441.911,440.444610318,0.00332874039458
440.879,439.551854466,0.00301937948975
439.446,439.311111315,0.000306592441146
443.457,444.875287394,0.00318729992005
445.392,445.36981395,4.9262881939e-05
443.212,439.401389997,0.00867180232489
439.645,437.525599612,0.00484305868692
436.678,434.210365802,0.00568418376525
432.879,428.15667865,0.0110293471303
430.56,429.255069277,0.00303984120407
433.665,435.464236381,0.00413069529468
436.811,437.345042248,0.00122171790294
438.437,439.411420961,0.00221781061336
441.259,442.370555526,0.00251216697482
447.546,450.404856644,0.00634725868136
447.646,445.773058728,0.00420168595748
491.424,507.270896662,0.0312395527784
505.382,503.203340506,0.00432870888968
505.759,505.059068962,0.00138663078282
509.628,517.301861289,0.0148351820651
514.445,514.362788653,0.000158896388834
514.244,509.171764459,0.0099610548716
510.48,509.071454813,0.00276685255635
516.291,519.724339246,0.0066058125275
517.89,516.80532854,0.00209788438194
517.975,516.885576257,0.00210833033456
517.377,515.110095518,0.00440060598999
517.24,514.643655663,0.00504562866731
514.069,512.341549281,0.00337090411086
514.671,512.958453606,0.00333896438532
510.525,505.535539782,0.00986976138636
509.355,509.588049491,0.000456708765136
508.305,506.859627112,0.00285112750244
508.24,507.456469508,0.00154413591884
512.573,517.833502414,0.0101583254798
517.676,519.217775533,0.00296960598239
520.091,518.380189986,0.00330124828441
519.758,517.372078041,0.00461160867657
517.524,514.187246772,0.00648922941956
515.883,512.737772384,0.0061334607672
517.855,518.635979584,0.00150504766391
518.99,517.54260444,0.00279570706006
523.208,524.584341608,0.00262401446603
528.566,530.843663535,0.00429068798927
532.661,533.200940223,0.00101181785992
533.759,531.435490448,0.00437151184997
532.721,528.872578986,0.00727597394288
529.488,528.260690144,0.00232325810592
530.507,530.728307442,0.000417757338403
531.34,530.307006928,0.00194842620391
536.367,536.591406266,0.000419108749214
539.481,540.73921014,0.00232680014618
542.696,544.009304608,0.00241437560061
543.602,540.312894143,0.00608648684407
540.606,536.636545607,0.00739717516817
537.127,532.037348326,0.00956717248602
536.932,538.151221266,0.00226601468579
538.056,536.586390784,0.00273852712093
542.078,544.054443949,0.00363212695003
542.791,544.791719849,0.00367331666798
549.558,552.01401438,0.00444921853026
557.002,559.27643277,0.0040675894027
559.265,557.641385536,0.00291171026732
560.753,560.460086596,0.000523049320196
561.981,560.931541933,0.0018716051165
560.424,556.447700745,0.00714610294949
561.333,562.090118348,0.00134663002458
559.767,558.283367272,0.00265721409257
558.025,554.210795633,0.00688238093846
560.211,560.389869844,0.000318319507178
567.285,571.193218747,0.00684182047913
572.776,572.381888055,0.000688015735644
571.157,566.869872993,0.0075625598806
569.6,566.839780099,0.0048696609774
565.571,563.228632833,0.00415803400449
572.969,576.479537105,0.00608951697907
576.365,576.088329485,0.000479922314224
579.261,579.900096043,0.00110231363881
579.621,577.046286606,0.00446246920551
582.91,583.651676813,0.00127100763781
584.896,584.313720479,0.000997243160278
583.547,581.84610318,0.00292379558162
573.19,563.65494883,0.0169170142254
560.53,552.319958801,0.0148653630485
558.599,563.24367928,0.008245765113
559.308,555.173768238,0.00744626503751
568.849,569.452846384,0.00106018486701
589.982,592.313414769,0.00393581670793
583.224,568.469811851,0.0259536772042
575.15,570.842134985,0.0075470858597
574.578,573.369938071,0.00210631665146
578.706,581.775886428,0.00527760109791
587.534,590.542949512,0.0050944044817
588.579,588.280966989,0.000506789426603
594.847,596.932673979,0.00349319265904
595.775,595.182270652,0.000996432466583
598.568,601.807722788,0.0053834315119
601.388,603.262212659,0.00310618818852
605.632,607.314722368,0.00277122954348
605.049,603.031500472,0.00334601906728
604.846,603.919240842,0.00153489159103
605.805,603.758745408,0.00338968579642
607.74,608.132245985,0.000645318281968
611.394,611.888842238,0.000808841909264
613.285,611.974105437,0.00214282920952
612.55,611.492619135,0.00172896050497
612.386,609.707107432,0.00439331397542
606.045,603.207042353,0.00470485487193
608.631,609.33596174,0.0011562636922
611.335,611.016148315,0.000521275006041
612.994,611.693238428,0.00212722209665
613.375,609.275775953,0.00672762658323
