dates,adj_open,adj_close,volume,price_m_ave_50,price_m_ave_100,volume_m_ave_50,relative_change,positive_sentiment,negative_sentiment,uncertainty_sentiment,news_volume
2015-09-17,111.26627081,109.592370489,64112641.0,112.576253435,117.531476262,54605226.28,-0.0213899149558,0,0,0,0
2015-09-18,107.947330517,109.140224999,74285291.0,112.459270386,117.37769268,54158839.49,-0.00412570224719,0,0,0,0
2015-09-21,109.351867569,110.833365555,50221965.0,112.314666696,117.25915206,54027198.31,0.0155134420449,0,0,0,0
2015-09-22,109.072884182,109.092124415,50346159.0,112.089652323,117.156484098,53698705.67,-0.0157104418019,0,0,0,0
2015-09-23,109.313387102,109.97717516,35756716.0,111.88329665,117.02642502,53471146.45,0.00811287477957,0,0,0,0
2015-09-24,108.947822664,110.631343102,50219475.0,111.666848331,116.90529194,53463458.42,0.00594821553533,0,0,0,0
2015-09-25,112.01663992,110.352359715,56151926.0,111.412450552,116.809027105,53532263.52,-0.00252173913041,0,0,0,0
2015-09-28,109.525029671,108.168593203,50782189.0,111.09311681,116.698459048,53318675.31,-0.0197890332142,0,0,0,0
2015-09-29,108.543777758,104.916993728,73365384.0,110.661824457,116.548031299,53612920.2,-0.0300604766987,0,0,0,0
2015-09-30,105.984826692,105.773184122,65041596.0,110.272938826,116.38356406,53707832.34,0.00816064551621,0,0,0,0
2015-10-01,104.926613845,105.417239801,63929100.0,109.982854398,116.227987299,53926765.77,-0.00336516598449,0,0,0,0
2015-10-02,103.906881465,106.186849144,58019758.0,109.709311381,116.084464102,54025363.03,0.0073006022997,0,0,0,0
2015-10-05,105.705843305,106.571653816,52064743.0,109.456105914,115.943400308,54199068.11,0.00362384489944,0,0,0,0
2015-10-06,106.427352064,107.081520006,48856977.0,109.246233712,115.779279202,54235603.32,0.00478425708604,0,0,0,0
2015-10-07,107.495185028,106.571653816,46765550.0,109.014480415,115.61178327,54321178.48,-0.00476147695617,0,0,0,0
2015-10-08,106.004066925,105.340278867,61979577.0,108.765569572,115.418374444,54432145.07,-0.011554432208,0,0,0,0
2015-10-09,105.821284706,107.860749466,52766140.0,108.578943448,115.251319548,54513474.07,0.0239269406392,0,0,0,0
2015-10-12,108.44757659,107.360503393,30467204.0,108.402806888,115.07935796,54453596.79,-0.0046378879771,0,0,0,0
2015-10-13,106.610134283,107.543285612,33049256.0,108.28510562,114.896486968,54386785.71,0.00170250896059,0,0,0,0
2015-10-14,107.062279772,106.023307159,44462449.0,108.209788931,114.687402801,54375450.48,-0.0141336434386,0,0,0,0
2015-10-15,106.715955568,107.61062643,37673452.0,108.151661798,114.522156262,54045209.4,0.0149714182017,0,0,0,0
2015-10-16,107.533665495,106.821776853,39232609.0,108.072969243,114.325797338,53979203.03,-0.00733059181127,0,0,0,0
2015-10-19,106.59089405,107.485564911,29759153.0,108.000048757,114.138614163,53969461.47,0.00621397694532,0,0,0,0
2015-10-20,107.110380356,109.448068737,48967763.0,107.885569367,113.985421319,53950294.58,0.0182583012619,0,0,0,0
2015-10-21,109.669331423,109.43844862,42326974.0,107.890764231,113.829690174,54052436.35,-8.78966335454e-05,0,0,0,0
2015-10-22,109.986795277,111.112348942,41654089.0,107.895766691,113.696204727,54132300.97,0.0152953586498,0,0,0,0
2015-10-23,112.266762957,114.556350753,59366914.0,107.971380809,113.595627001,54416134.69,0.0309956709957,0,0,0,0
2015-10-26,113.594339074,110.900706372,66333781.0,107.95829745,113.465771245,54694971.32,-0.031911320121,0,0,0,0
2015-10-27,111.016147774,110.198437846,69884400.0,107.908080441,113.335692377,55037547.32,-0.00633240804989,0,0,0,0
2015-10-28,112.488025643,114.739132972,85551352.0,107.961375888,113.259160792,55366312.98,0.0412047140986,0,0,0,0
2015-10-29,114.190786315,115.951267688,51227334.0,108.067581977,113.198389761,55317832.12,0.0105642659511,0,0,0,0
2015-10-30,116.39379306,114.960395658,49365254.0,108.199377577,113.113727792,55420612.16,-0.00854559030944,0,0,0,0
2015-11-02,115.31633998,116.576575279,32203267.0,108.496061979,113.048004909,55388735.96,0.0140585774059,0,0,0,0
2015-11-03,116.201390724,117.913771513,45518976.0,108.870284522,113.009253132,55475063.26,0.011470539693,0,0,0,0
2015-11-04,118.452498054,117.365424856,44886050.0,109.221611187,112.967412104,55484034.3,-0.00465040385082,0,0,0,0
2015-11-05,117.725216588,116.826698316,39552680.0,109.447683932,112.913671545,55564619.79,-0.0045901639344,0,0,0,0
2015-11-06,117.010266565,116.961959131,33042283.0,109.614315938,112.864156652,55565861.91,0.00115779027457,0,0,0,0
2015-11-09,116.865344263,116.488546278,33871405.0,109.764360801,112.804353051,55550503.76,-0.00404757971256,0,0,0,0
2015-11-10,112.942780625,112.817181296,59127931.0,109.851175689,112.720094183,55594614.2,-0.0315169611015,0,0,0,0
2015-11-11,112.430721824,112.179523168,45217971.0,110.02220819,112.619786104,55706400.46,-0.00565213667895,0,0,0,0
2015-11-12,112.32444547,111.802725183,32525579.0,110.096814853,112.521264624,55728967.62,-0.00335888381703,0,0,0,0
2015-11-13,111.300327869,108.537142646,45812403.0,110.144013126,112.379744309,55634283.1,-0.0292084341514,0,0,0,0
2015-11-16,107.609639914,110.310025473,38106701.0,110.247833311,112.261794707,55695969.11,0.0163343421755,0,0,0,0
2015-11-17,111.029806239,109.841443364,27583101.0,110.283791545,112.14634193,55531131.71,-0.00424786511933,0,0,0,0
2015-11-18,111.84137113,113.319578609,46674697.0,110.430871388,112.086931139,55506264.41,0.0316650540945,0,0,0,0
2015-11-19,113.657730647,114.759140142,43295820.0,110.560181096,112.033344672,55495515.79,0.0127035552903,0,0,0,0
2015-11-20,115.164922587,115.261537455,34287096.0,110.667984768,111.973529366,55535998.64,0.00437784138744,0,0,0,0
2015-11-23,115.232552995,113.764007002,32482528.0,110.724673574,111.900271053,55588714.4,-0.0129924559933,0,0,0,0
2015-11-24,113.358224557,114.85575501,42803172.0,110.784534313,111.842144039,55736141.81,0.00959660297242,0,0,0,0
2015-11-25,115.174584074,114.034528632,21388308.0,110.825469294,111.778773588,55480556.78,-0.00715006729476,0,0,0,0
2015-11-27,114.285727289,113.821975923,13046445.0,110.910061403,111.743157419,55003405.09,-0.00186393289848,0,0,0,0
2015-11-30,113.995882685,114.295388776,39180322.0,111.013164678,111.736217532,54609257.93,0.00415923945338,0,0,0,0
2015-12-01,114.730155681,113.367886043,34852374.0,111.063855088,111.689260892,54344236.93,-0.00811496196115,0,0,0,0
2015-12-02,113.087702926,112.343768443,33386563.0,111.128887969,111.609270146,54263697.18,-0.00903357763756,0,0,0,0
2015-12-03,112.604628587,111.300327869,41569509.0,111.155351023,111.519323836,54361710.88,-0.00928792569663,0,0,0,0
2015-12-04,111.387281251,115.000677312,57776977.0,111.242737707,111.454793019,54602988.65,0.0332465277778,0,0,0,0
2015-12-07,114.952369878,114.276065802,32084249.0,111.321211829,111.36683119,54561606.67,-0.00630093253804,0,0,0,0
2015-12-08,113.541792806,114.227758368,34309450.0,111.442395132,111.267755971,54443054.07,-0.000422725735533,0,0,0,0
2015-12-09,113.657730647,111.706110315,46361357.0,111.578177464,111.12000096,54317665.61,-0.022075615326,0,0,0,0
2015-12-10,112.11189276,112.237492089,29212727.0,111.707463623,110.990201224,53842228.61,0.00475696246322,0,0,0,0
2015-12-11,111.290666383,109.348707537,46886161.0,111.786092978,110.884473688,53156584.15,-0.0257381423775,0,0,0,0
2015-12-14,108.382558858,108.672403461,65003609.0,111.835804064,110.772557722,53296625.72,-0.00618483831069,0,0,0,0
2015-12-15,108.150683175,106.749767589,53323105.0,111.83936634,110.647736127,53408233.45,-0.0176920341394,0,0,0,0
2015-12-16,107.310133823,107.570993967,56238467.0,111.849155819,110.547694765,53526062.72,0.00769300389176,0,0,0,0
2015-12-17,108.227975069,105.290883083,44772827.0,111.823540404,110.41901041,53637610.02,-0.0211963355488,0,0,0,0
2015-12-18,105.223252676,102.440744479,96453327.0,111.765549716,110.265559644,54232026.76,-0.0270691870067,0,0,0,0
2015-12-21,103.648430328,103.696737762,47590610.0,111.682269482,110.130606465,54371650.18,0.0122606809393,0,0,0,0
2015-12-22,103.76436817,103.600122894,32789367.0,111.607061872,110.00493438,54270694.32,-0.000931705953579,0,0,0,0
2015-12-23,103.638768842,104.933408072,32657354.0,111.554864322,109.919984971,53897508.18,0.0128695327801,0,0,0,0
2015-12-24,105.310206057,104.373041838,13596680.0,111.521859015,109.865823973,52792088.75,-0.00534020808402,0,0,0,0
2015-12-28,103.947936419,103.204001936,26704210.0,111.433726525,109.792694162,52075286.24,-0.011200592428,0,0,0,0
2015-12-29,103.339262751,105.0590074,30931243.0,111.398471136,109.735720189,51855568.27,0.0179741621419,0,0,0,0
2015-12-30,104.904423612,103.687076276,25213777.0,111.322501364,109.66127506,51721001.99,-0.0130586720618,0,0,0,0
2015-12-31,103.387570185,101.696809996,40912316.0,111.167476189,109.526522778,51580609.18,-0.0191949310473,0,0,0,0
2016-01-04,99.1365159955,101.783763377,67649387.0,111.014382484,109.452573357,51286274.91,0.000855025650789,0,0,0,0
2016-01-05,102.170222849,99.2331308635,55790992.0,110.776798122,109.336282407,50827328.73,-0.025059326056,0,0,0,0
2016-01-06,97.1559112027,97.2911720179,68457388.0,110.431494548,109.201437678,51026544.72,-0.0195696621556,0,0,0,0
2016-01-07,95.3395516854,93.1850401303,81094428.0,110.077181223,109.017739337,51408193.84,-0.0422045680238,0,0,0,0
2016-01-08,95.2139523571,93.6777759568,70798016.0,109.746767985,108.827424213,51707326.55,0.00528771384136,0,0,0,0
2016-01-11,95.6197348025,95.1946293835,49739377.0,109.355877913,108.6586269,51859113.24,0.0161922442244,0,0,0,0
2016-01-12,97.1462497159,96.5762219951,49154227.0,108.968376999,108.517979488,51867790.41,0.014513346189,0,0,0,0
2016-01-13,96.9240355197,94.093219889,62439631.0,108.551033484,108.375205531,51807170.5,-0.0257102841136,0,0,0,0
2016-01-14,94.6439246362,96.1511165761,63170127.0,108.14252431,108.319293144,51156117.06,0.0218708286272,0,0,0,0
2016-01-15,92.9435029605,93.8420212323,79833891.0,107.661089304,108.265686913,50332393.05,-0.0240152733119,0,0,0,0
2016-01-19,95.078691542,93.387931353,53087747.0,107.181539434,108.201575311,49827254.53,-0.00483887573355,0,0,0,0
2016-01-20,91.8807394131,93.5135306813,72334416.0,106.715276082,108.081480007,49582852.58,0.00134492033933,0,0,0,0
2016-01-21,93.7743908248,93.0401178284,52161463.0,106.236839255,107.925577597,49258306.65,-0.00506250645728,0,0,0,0
2016-01-22,95.2912442514,97.986799067,65800467.0,105.866804311,107.815582556,49384667.25,0.0531671858775,0,0,0,0
2016-01-25,98.083413935,96.0738246818,51794525.0,105.531937179,107.691556434,49340319.79,-0.0195227765727,0,0,0,0
2016-01-26,96.5472375347,96.6052064555,75077002.0,105.220450845,107.621329518,49322631.21,0.00553097345133,0,0,0,0
2016-01-27,92.7889191717,90.2576096317,133369674.0,104.789548534,107.443181693,50037439.83,-0.0657065706571,0,0,0,0
2016-01-28,90.615084643,90.9049292469,55678825.0,104.436904266,107.290458696,50061888.68,0.00717191179619,0,0,0,0
2016-01-29,91.5812333225,94.044912455,64416504.0,104.111602005,107.179717658,50206090.61,0.0345413965352,0,0,0,0
2016-02-01,93.2043631039,93.1657171567,40943541.0,103.778087481,107.030939513,50067089.76,-0.0093486747483,0,0,0,0
2016-02-02,92.1899069905,91.2817272318,37357215.0,103.337330454,106.884100921,49590553.87,-0.0202219226382,0,0,0,0
2016-02-03,91.7841245451,93.0884252624,45964294.0,102.903916156,106.732048626,49421268.5,0.0197925486876,0,0,0,0
2016-02-04,93.1135611305,93.8323597455,46471652.0,102.475332602,106.571658685,49386830.29,0.00799169693824,0,0,0,0
2016-02-05,93.7546517871,91.3262780877,46418064.0,102.026578024,106.375625799,49267376.62,-0.0267080745342,0,0,0,0
2016-02-08,90.4617770507,92.2879140727,54021375.0,101.575221205,106.179877759,49374178.82,0.0105296745373,0,0,0,0
2016-02-09,91.5885424473,92.2684870831,44331195.0,101.139900374,105.982684834,49445755.88,-0.000210504157453,0,0,0,0
2016-02-10,93.1718420993,91.5691154577,42343601.0,100.694843165,105.802452284,49228065.48,-0.00757974523635,0,0,0,0
2016-02-11,91.1028677074,91.0154462542,50074711.0,100.229244314,105.621204496,48985959.68,-0.00604646228917,0,0,0,0
2016-02-12,91.4914074993,91.2971376033,40351381.0,99.7878293454,105.425842217,48887253.84,0.00309498399146,0,0,0,0
2016-02-16,92.2976275675,93.8712137247,49057916.0,99.418378251,105.27363311,48874371.41,0.0281944887754,0,0,0,0
2016-02-17,93.9003542091,95.3088109548,44863243.0,99.0985479127,105.126949468,48965436.68,0.0153145695364,0,0,0,0
2016-02-18,96.0081825802,93.5021009224,39020983.0,98.6685763849,104.955657046,48853451.76,-0.0189563799429,0,0,0,0
2016-02-19,93.2495500577,93.2884040368,35374173.0,98.2488231496,104.785017489,48645674.23,-0.00228547683358,0,0,0,0
2016-02-22,93.5506683964,94.1043375999,34280758.0,97.8463547342,104.644374933,48480659.92,0.00874635568514,0,0,0,0
2016-02-23,93.6380898496,91.9770822392,31942633.0,97.4517741727,104.514975818,48066432.41,-0.0226052848885,0,0,0,0
2016-02-24,91.2874241085,93.3466850056,36255745.0,97.0739580311,104.390710827,47778573.9,0.0148906959552,0,0,0,0
2016-02-25,93.2981175316,93.9877756623,27582659.0,96.7667393936,104.276416186,47415109.49,0.00686784599376,0,0,0,0
2016-02-26,94.4151694334,94.1334780842,28991131.0,96.475960886,104.155882475,47124823.22,0.00155022736668,0,0,0,0
2016-02-29,94.0849106103,93.9197811987,35216277.0,96.2193611582,104.029363749,46956338.56,-0.00227014755959,0,0,0,0
2016-03-01,94.8522766993,97.649763201,50407147.0,96.0209365429,103.935046181,46971840.26,0.03971455166,0,0,0,0
2016-03-02,97.6303362114,97.8634600866,33169560.0,95.872388083,103.847964244,46835880.36,0.00218840147219,0,0,0,0
2016-03-03,97.698330675,98.5919721964,36955742.0,95.7954126373,103.780481177,46585642.01,0.0074441687345,0,0,0,0
2016-03-04,99.4370462438,100.058709911,46055100.0,95.7226520803,103.702460781,46518531.61,0.0148768472907,0,0,0,0
2016-03-07,99.4564732334,98.9513715039,35915810.0,95.6296770525,103.618369462,46573017.67,-0.01106688671,0,0,0,0
2016-03-08,97.8926005709,98.1354379409,31182194.0,95.4937176498,103.524290986,46554347.05,-0.00824580347502,0,0,0,0
2016-03-09,98.4074157952,98.2228593941,27201683.0,95.3707140009,103.446286508,46381739.39,0.000890824507571,0,0,0,0
2016-03-10,98.5045507432,98.2714268681,33513577.0,95.2720624996,103.352894512,46340140.64,0.000494462025323,0,0,0,0
2016-03-11,99.3107708114,99.330197801,27408237.0,95.1574863076,103.277978722,46221896.92,0.0107739448453,0,0,0,0
2016-03-14,98.9902254831,99.5827486657,25076062.0,95.0753997554,103.198950559,46175066.01,0.00254253862702,0,0,0,0
2016-03-15,100.981491917,101.583728594,40067734.0,95.0731381274,103.120307158,46086065.72,0.0200936402653,0,0,0,0
2016-03-16,101.612869078,102.933904371,38303493.0,95.0961409472,103.055261716,46045830.91,0.0132912602792,0,0,0,0
2016-03-17,102.496797105,102.768774959,34420705.0,95.1668538292,102.971825976,45973497.07,-0.00160422761158,0,0,0,0
