Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.028610800489108957
Test RMSE 2: ,0.09590347429092069
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.0286474],0.104269937576,[ 0.7252574]
[ 0.02861434],0.106322859122,[ 0.73087311]
[ 0.02859885],0.110282948317,[ 0.74067748]
[ 0.02861337],0.123638301455,[ 0.76857191]
[ 0.02861711],0.103619565532,[ 0.72382528]
[ 0.02860132],0.106596522126,[ 0.73168617]
[ 0.02857295],0.0947103985285,[ 0.69831246]
[ 0.02859485],0.133829329948,[ 0.78633344]
[ 0.02863069],0.106200348887,[ 0.73040873]
[ 0.02869194],0.159860936537,[ 0.82051933]
[ 0.02876638],0.120801004521,[ 0.76186973]
[ 0.02875337],0.107376769474,[ 0.73221982]
[ 0.02873644],0.12558509386,[ 0.7711795]
[ 0.02876224],0.131557071482,[ 0.78137058]
[ 0.02877093],0.120489926324,[ 0.76121712]
[ 0.02875844],0.108083667955,[ 0.73392421]
[ 0.0287277],0.105400606782,[ 0.7274428]
[ 0.02866824],0.0895776110186,[ 0.67996192]
[ 0.02861185],0.100584771678,[ 0.71554488]
[ 0.0286142],0.12561226567,[ 0.77220225]
[ 0.02864096],0.120970128177,[ 0.76323938]
[ 0.02865344],0.120304170696,[ 0.76182508]
[ 0.02866263],0.126351332301,[ 0.77315134]
[ 0.02867772],0.11981671014,[ 0.76065344]
[ 0.0286654],0.100664809823,[ 0.71523905]
[ 0.02864096],0.101035428399,[ 0.71652561]
[ 0.02863695],0.122110286498,[ 0.7654829]
[ 0.02864536],0.109953718544,[ 0.73947793]
[ 0.02863904],0.112725481074,[ 0.74593997]
[ 0.02861939],0.0990991121866,[ 0.71120435]
[ 0.02864408],0.139836117279,[ 0.79515964]
[ 0.02864905],0.0886185001179,[ 0.67671484]
[ 0.02860022],0.0911139189463,[ 0.68610483]
[ 0.02859634],0.114886451232,[ 0.75109041]
[ 0.02860228],0.10933279958,[ 0.73839253]
[ 0.02858529],0.102631960982,[ 0.72147769]
[ 0.02858472],0.112175647319,[ 0.74517888]
[ 0.02858775],0.113664756701,[ 0.74849063]
[ 0.02858348],0.11292038386,[ 0.74687046]
[ 0.02859405],0.121186909766,[ 0.76405007]
[ 0.02863736],0.1373485419,[ 0.79149866]
[ 0.02869487],0.143766179558,[ 0.80040598]
[ 0.02876387],0.147580884928,[ 0.80509764]
[ 0.02879631],0.13817366839,[ 0.79159331]
[ 0.02883789],0.15384993965,[ 0.81255835]
[ 0.0288718],0.12299544689,[ 0.76526123]
[ 0.02889955],0.141480070839,[ 0.79573411]
[ 0.02890732],0.14380713815,[ 0.79898554]
[ 0.02890634],0.137598119553,[ 0.789922]
[ 0.02891364],0.139318275531,[ 0.79246348]
[ 0.02895153],0.156842227657,[ 0.8154099]
[ 0.02898082],0.162913971883,[ 0.8221097]
[ 0.0289969],0.152305201832,[ 0.80961323]
[ 0.02897572],0.136978759635,[ 0.78846556]
[ 0.02896052],0.121967616245,[ 0.76255566]
[ 0.02899792],0.190999705365,[ 0.84817821]
[ 0.02901021],0.135317152536,[ 0.78561324]
[ 0.02896184],0.110760238876,[ 0.73851776]
