Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,1.4801360350067339
Test RMSE 1: ,2.4092784814364463
Baseline RMSE 1: ,3.022348398921735
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
111.544,110.32,0.011090766182
110.076,105.92,0.0392363337952
107.508,107.03,0.00446478469365
108.786,110.0,0.0110403581099
110.625,109.43,0.0109216870811
110.439,109.78,0.00600593054006
110.258,109.73,0.00481622060256
111.171,110.63,0.00489001501256
111.976,112.0,0.000211647578648
113.108,113.02,0.000777760810967
113.902,112.3,0.0142691010147
113.795,112.53,0.0112391252958
114.138,114.37,0.00202763250494
114.822,114.29,0.00465321104841
115.043,112.57,0.0219703085355
113.208,110.42,0.0252522981765
112.225,111.06,0.0104935211726
111.603,109.06,0.0233132834393
107.916,105.72,0.0207678845016
107.998,111.2,0.0287928958591
110.495,110.33,0.00149754372359
110.76,109.45,0.0119688853982
109.989,106.45,0.0332436335372
106.301,103.04,0.0316508156913
105.342,105.44,0.000931075563561
106.001,105.16,0.00800183028856
106.269,105.74,0.00500035741412
106.311,107.15,0.00783195264196
106.858,105.86,0.00942676918236
107.43,107.12,0.00289466578716
108.123,106.74,0.0129597295597
107.512,105.92,0.0150294289488
107.432,106.56,0.00818403490313
108.535,108.68,0.00133584324033
109.759,109.55,0.00190490416227
110.673,108.99,0.015443081746
110.218,109.22,0.0091357256462
109.476,108.35,0.0103948335247
110.117,109.63,0.00444322909837
110.282,109.78,0.00457435923427
109.902,109.19,0.0065215860425
109.756,107.9,0.0172027785873
108.363,106.4,0.0184528953151
108.153,107.67,0.00448351888656
108.98,107.97,0.00935674259108
109.177,108.62,0.00513220140671
109.016,106.49,0.0237233203749
107.528,106.24,0.0121217693191
107.517,106.83,0.00642819089032
109.322,110.92,0.0144076177114
110.521,109.32,0.0109883631885
111.743,112.41,0.00593319436365
112.538,111.9,0.00569908271633
112.792,112.0,0.00707278932844
113.682,112.62,0.00942763103471
113.642,113.02,0.00550613578833
114.273,113.56,0.00627830642426
114.576,113.6,0.00858815958802
116.036,117.42,0.0117876315681
117.692,117.4,0.00249061389514
118.175,116.98,0.0102168823597
117.945,117.16,0.00670323187925
116.942,112.62,0.0383760414672
119.52,125.35,0.0465132078423
127.04,128.3,0.00981739546671
130.419,132.17,0.0132489651408
132.368,133.5,0.00847565725948
132.853,130.62,0.0170951332766
133.489,135.01,0.0112639225798
134.259,133.5,0.00568804222993
136.017,137.34,0.00963437319392
137.478,137.93,0.00327450316595
139.019,136.88,0.0156258026248
138.855,137.82,0.00751053939241
137.122,135.02,0.0155649683843
134.403,132.12,0.0172808996807
132.713,131.0,0.0130748020784
132.623,132.8,0.00133374225662
133.149,132.8,0.00262745317206
135.461,136.6,0.00834034686556
136.084,135.64,0.00327696781952
135.45,133.36,0.0156701264728
135.579,135.56,0.000137194028186
135.972,134.61,0.0101200469615
135.182,134.43,0.00559619692725
136.746,137.93,0.00858659287235
138.551,138.13,0.00304483374895
140.404,141.31,0.00641052276328
142.223,140.77,0.0103233702152
142.285,141.79,0.00349368695287
141.891,139.57,0.0166287106156
143.807,146.47,0.0181778171831
145.498,145.02,0.00329926122124
147.971,148.0,0.000196611559069
147.86,146.26,0.0109406790361
147.772,145.73,0.014014958501
147.072,145.06,0.0138729005522
146.501,146.34,0.00110168582155
149.861,148.0,0.0125733452874
147.872,144.86,0.0207926586783
144.747,143.38,0.00953161575119
145.615,146.23,0.00420503969159
146.644,145.13,0.0104312711421
143.734,138.55,0.0374135155404
139.978,141.37,0.00984879117492
140.59,140.74,0.00106311064646
141.357,139.96,0.00998280218037
141.096,141.0,0.000678853785738
141.352,139.33,0.0145136590135
140.267,140.01,0.00183884047345
140.923,140.9,0.000164673631288
143.628,144.18,0.00382903532043
143.618,140.79,0.0200897700171
141.385,140.4,0.0070141088589
139.96,135.55,0.032537321726
135.576,131.47,0.0312295172199
132.294,131.53,0.00581208934333
131.799,129.07,0.0211434160757
128.693,127.19,0.0118191923976
128.315,127.68,0.0049745851292
130.875,131.83,0.00724626153533
132.637,133.25,0.00459824896664
134.643,133.69,0.00712550409588
132.989,129.1,0.0301234498678
128.816,124.69,0.033089772597
